,CAGR,Ann. vol,Sharpe,Sortino,Max DD,Calmar,Recovery (m),Ann. turnover
Markowitz Max-Sharpe,0.08848437022100941,0.07624229159366662,0.9542773921718594,1.3179503321864756,-0.19299899384290042,0.45847062960874785,14.0,0.7571355009833459
Michaud Resampled,0.07353415077688052,0.06645196708808236,0.8710723523634852,1.2178961651616613,-0.1647189101072336,0.4464220333233694,17.0,0.5985421436812908
Black-Litterman,0.06152338796714574,0.07476595022932617,0.6255728136076538,1.0303729650913844,-0.10983608318709881,0.5601382185337449,13.0,2.8165386858811186
60/40,0.0966927880430295,0.09165251739088977,0.8828284619549628,1.1948841800977887,-0.20046029657018583,0.482353811190612,17.0,0.12268844195733776
1/N,0.058214469620177844,0.0744317067138413,0.5854551268365684,0.7920381934474721,-0.1757393210069843,0.3312546633650887,22.0,0.16113301441001812
SPY (index),0.14742622712443976,0.13922877082291965,0.948248615653821,1.3280533242551718,-0.2392718402314562,0.6161453306909376,15.0,
