,Taper/China sell-off,Q4 2018 correction,COVID crash,COVID recovery,Inflation shock 2022,Calm markets (ann.)
Markowitz Max-Sharpe,0.004147325361626875,-0.09345545764995411,-0.012149733293378207,0.14495924146675843,-0.16192214101490698,0.1298526722566704
Michaud Resampled,-0.006645380932535971,-0.07715618997850016,-0.024896299964887403,0.15325305624545793,-0.1488619255497372,0.10834407264055468
Black-Litterman,-0.05058610953788534,-0.10153260330573577,-0.01827595009303562,0.027651732099673865,-0.07905046711536179,0.10310300093473268
60/40,-0.03271514290811617,-0.0729781204313995,-0.10805200313619867,0.2854490623777364,-0.1655592052981092,0.14135751593344437
1/N,-0.0564231652305176,-0.05622900186547075,-0.0892918733439173,0.23428508150355887,-0.1606131002329817,0.09267047367537673
SPY (index),-0.06850297531893723,-0.13018024943915074,-0.19447702295379754,0.46900345090150464,-0.1774431056466601,0.21878814177110417
